type,n,k,time_ms
random,500,0,0
random,500,5,0
random,500,10,0
random,500,20,0
random,500,30,0
random,500,50,0
random,5000,0,1
random,5000,5,0
random,5000,10,0
random,5000,20,0
random,5000,30,0
random,5000,50,0
random,10000,0,2
random,10000,5,0
random,10000,10,0
random,10000,20,0
random,10000,30,0
random,10000,50,0
random,20000,0,5
random,20000,5,1
random,20000,10,1
random,20000,20,0
random,20000,30,0
random,20000,50,2
random,50000,0,12
random,50000,5,6
random,50000,10,4
random,50000,20,3
random,50000,30,2
random,50000,50,1
random,100000,0,30
random,100000,5,16
random,100000,10,7
random,100000,20,5
random,100000,30,5
random,100000,50,3
sorted,500,0,0
sorted,500,5,0
sorted,500,10,0
sorted,500,20,0
sorted,500,30,0
sorted,500,50,0
sorted,5000,0,0
sorted,5000,5,0
sorted,5000,10,0
sorted,5000,20,0
sorted,5000,30,0
sorted,5000,50,0
sorted,10000,0,1
sorted,10000,5,0
sorted,10000,10,0
sorted,10000,20,0
sorted,10000,30,0
sorted,10000,50,0
sorted,20000,0,3
sorted,20000,5,1
sorted,20000,10,0
sorted,20000,20,0
sorted,20000,30,0
sorted,20000,50,0
sorted,50000,0,9
sorted,50000,5,3
sorted,50000,10,2
sorted,50000,20,1
sorted,50000,30,1
sorted,50000,50,1
sorted,100000,0,20
sorted,100000,5,7
sorted,100000,10,5
sorted,100000,20,3
sorted,100000,30,4
sorted,100000,50,2
almost,500,0,0
almost,500,5,0
almost,500,10,0
almost,500,20,0
almost,500,30,0
almost,500,50,0
almost,5000,0,0
almost,5000,5,0
almost,5000,10,0
almost,5000,20,0
almost,5000,30,0
almost,5000,50,0
almost,10000,0,1
almost,10000,5,0
almost,10000,10,0
almost,10000,20,0
almost,10000,30,0
almost,10000,50,0
almost,20000,0,3
almost,20000,5,1
almost,20000,10,0
almost,20000,20,0
almost,20000,30,0
almost,20000,50,0
almost,50000,0,10
almost,50000,5,4
almost,50000,10,2
almost,50000,20,1
almost,50000,30,1
almost,50000,50,1
almost,100000,0,17
almost,100000,5,8
almost,100000,10,4
almost,100000,20,3
almost,100000,30,2
almost,100000,50,2
reversed,500,0,0
reversed,500,5,0
reversed,500,10,0
reversed,500,20,0
reversed,500,30,0
reversed,500,50,0
reversed,5000,0,0
reversed,5000,5,0
reversed,5000,10,0
reversed,5000,20,0
reversed,5000,30,0
reversed,5000,50,0
reversed,10000,0,1
reversed,10000,5,0
reversed,10000,10,0
reversed,10000,20,0
reversed,10000,30,0
reversed,10000,50,0
reversed,20000,0,3
reversed,20000,5,0
reversed,20000,10,0
reversed,20000,20,0
reversed,20000,30,0
reversed,20000,50,0
reversed,50000,0,9
reversed,50000,5,4
reversed,50000,10,2
reversed,50000,20,2
reversed,50000,30,1
reversed,50000,50,0
reversed,100000,0,18
reversed,100000,5,7
reversed,100000,10,4
reversed,100000,20,3
reversed,100000,30,3
reversed,100000,50,2
