type,n,time_ms
random,500,0
random,500,0
random,5000,0
random,5000,0
random,10000,0
random,10000,0
random,20000,2
random,20000,3
random,50000,4
random,50000,6
random,100000,9
random,100000,10
almost,500,0
almost,500,0
almost,5000,0
almost,5000,0
almost,10000,0
almost,10000,0
almost,20000,0
almost,20000,0
almost,50000,2
almost,50000,1
almost,100000,4
almost,100000,3
reversed,500,0
reversed,500,0
reversed,5000,0
reversed,5000,0
reversed,10000,0
reversed,10000,0
reversed,20000,2
reversed,20000,1
reversed,50000,2
reversed,50000,2
reversed,100000,4
reversed,100000,3
