step,real,mean_est,stddev,rel_error
50000,50000,50553.4,309.912,0.0110686
100000,100000,100477,634.543,0.0047732
150000,150000,150588,778.566,0.00391767
200000,200000,200402,1317.86,0.00201012
250000,250000,250366,1043.68,0.00146506
300000,300000,300624,1954.17,0.00208153
350000,350000,349964,2592.76,0.000103248
400000,400000,398433,3513.13,0.00391637
450000,450000,448023,3793.62,0.00439322
500000,500000,498298,3833.04,0.00340434
550000,550000,548617,3495.02,0.00251531
600000,600000,598289,4134.21,0.00285184
650000,650000,648453,4010.54,0.0023795
700000,700000,698853,4616.07,0.00163922
750000,750000,747886,5729.2,0.0028183
800000,800000,797594,5085.67,0.00300779
850000,850000,846752,5445.58,0.00382074
900000,900000,897867,6602.94,0.00236983
950000,950000,948481,8889.8,0.00159942
1000000,1000000,998070,8482.9,0.00192966
