dataset,algorithm,avg_time_us,avg_cmp,avg_inspections
almost_sorted,ternary_string_quicksort,768.2652666666667,13983.033333333333,15191.033333333333
almost_sorted,msd_radix_sort_with_switch,1248.5800000000002,5915.8,10164.866666666667
almost_sorted,standard_mergesort,1556.4290666666668,13651.833333333334,27303.666666666668
almost_sorted,lcp_string_mergesort,43110.724233333334,6016.766666666666,12033.533333333333
almost_sorted,msd_radix_sort,96106.42433333333,0.0,7502.2
almost_sorted,standard_quicksort,147376.60240000003,211819.1,423638.2
common_prefix,ternary_string_quicksort,2700.681433333333,78724.23333333334,79965.26666666666
common_prefix,standard_mergesort,8656.574766666667,616139.7666666667,1232279.5333333334
common_prefix,msd_radix_sort_with_switch,14775.8819,6095.366666666667,134325.73333333334
common_prefix,lcp_string_mergesort,62566.16003333333,75398.73333333334,150797.46666666667
common_prefix,msd_radix_sort,106084.99746666667,0.0,131155.0
common_prefix,standard_quicksort,215443.45706666668,1098170.7333333334,2196341.466666667
random,ternary_string_quicksort,1129.1124333333332,16865.5,18057.533333333333
random,msd_radix_sort_with_switch,1172.7709666666667,6056.4,10276.466666666667
random,standard_mergesort,2358.7709333333332,20772.633333333335,41545.26666666667
random,lcp_string_mergesort,41148.044266666664,13494.766666666666,26989.533333333333
random,msd_radix_sort,85464.19056666667,0.0,7096.8
random,standard_quicksort,210030.7456,239040.93333333332,478081.86666666664
reversed,ternary_string_quicksort,794.4853,13854.266666666666,15048.966666666667
reversed,msd_radix_sort_with_switch,1119.5657333333334,5691.166666666667,9912.0
reversed,standard_mergesort,1468.0462,13871.433333333332,27742.866666666665
reversed,lcp_string_mergesort,39076.142433333334,6114.066666666667,12228.133333333333
reversed,msd_radix_sort,92160.33956666666,0.0,7463.733333333334
reversed,standard_quicksort,146186.74246666668,209214.06666666668,418428.13333333336
