dataset,algorithm,n,repetitions,avg_us,median_us,avg_char_comparisons,avg_char_inspections
random,standard_quicksort,100,7,248.800,245.400,13426.000,26852.000
random,standard_mergesort,100,7,61.386,58.200,604.000,1208.000
random,ternary_string_quicksort,100,7,48.000,41.800,715.000,801.000
random,lcp_string_mergesort,100,7,641.757,623.400,515.000,1030.000
random,msd_radix_sort,100,7,189.857,140.400,0.000,348.000
random,msd_radix_sort_with_switch,100,7,25.671,22.100,59.000,301.000
random,standard_quicksort,200,7,607.714,574.400,27007.000,54014.000
random,standard_mergesort,200,7,316.671,172.300,1495.000,2990.000
random,ternary_string_quicksort,200,7,114.586,101.200,1402.000,1570.000
random,lcp_string_mergesort,200,7,1958.357,1848.600,1177.000,2354.000
random,msd_radix_sort,200,7,701.843,404.500,0.000,778.000
random,msd_radix_sort_with_switch,200,7,88.171,85.900,202.000,707.000
random,standard_quicksort,300,7,1347.714,1319.000,42674.000,85348.000
random,standard_mergesort,300,7,265.843,264.100,2523.000,5046.000
random,ternary_string_quicksort,300,7,189.329,167.700,2519.000,2769.000
random,lcp_string_mergesort,300,7,3284.300,2138.200,1924.000,3848.000
random,msd_radix_sort,300,7,445.943,405.700,0.000,1198.000
random,msd_radix_sort_with_switch,300,7,249.000,121.600,438.000,1210.000
random,standard_quicksort,400,7,1744.714,1591.100,57210.000,114420.000
random,standard_mergesort,400,7,394.514,421.400,3648.000,7296.000
random,ternary_string_quicksort,400,7,314.071,320.100,3068.000,3387.000
random,lcp_string_mergesort,400,7,4521.157,3115.400,2684.000,5368.000
random,msd_radix_sort,400,7,815.443,534.000,0.000,1634.000
random,msd_radix_sort_with_switch,400,7,122.400,118.200,670.000,1715.000
random,standard_quicksort,500,7,5059.214,3792.600,70291.000,140582.000
random,standard_mergesort,500,7,1064.757,601.100,4847.000,9694.000
random,ternary_string_quicksort,500,7,824.457,333.200,4459.000,4853.000
random,lcp_string_mergesort,500,7,5989.714,5294.100,3516.000,7032.000
random,msd_radix_sort,500,7,1270.343,1084.200,0.000,2074.000
random,msd_radix_sort_with_switch,500,7,497.414,369.400,975.000,2300.000
random,standard_quicksort,600,7,3590.857,2501.900,86946.000,173892.000
random,standard_mergesort,600,7,674.700,505.200,6087.000,12174.000
random,ternary_string_quicksort,600,7,455.100,429.300,6019.000,6487.000
random,lcp_string_mergesort,600,7,6168.814,6459.700,4331.000,8662.000
random,msd_radix_sort,600,7,780.986,714.300,0.000,2508.000
random,msd_radix_sort_with_switch,600,7,287.886,273.600,1313.000,2906.000
random,standard_quicksort,700,7,6581.614,6048.000,104799.000,209598.000
random,standard_mergesort,700,7,1028.771,919.800,7434.000,14868.000
random,ternary_string_quicksort,700,7,581.857,581.900,6563.000,7106.000
random,lcp_string_mergesort,700,7,8297.043,8338.500,5213.000,10426.000
random,msd_radix_sort,700,7,1839.200,1865.300,0.000,2948.000
random,msd_radix_sort_with_switch,700,7,275.457,244.400,1695.000,3554.000
random,standard_quicksort,800,7,4455.386,3698.800,117726.000,235452.000
random,standard_mergesort,800,7,739.543,682.000,8810.000,17620.000
random,ternary_string_quicksort,800,7,430.986,431.800,7915.000,8521.000
random,lcp_string_mergesort,800,7,8443.786,8367.300,6130.000,12260.000
random,msd_radix_sort,800,7,980.143,924.500,0.000,3398.000
random,msd_radix_sort_with_switch,800,7,351.829,269.300,2106.000,4242.000
random,standard_quicksort,900,7,5522.929,4759.900,130970.000,261940.000
random,standard_mergesort,900,7,998.457,941.800,10186.000,20372.000
random,ternary_string_quicksort,900,7,641.814,619.800,9654.000,10341.000
random,lcp_string_mergesort,900,7,7853.157,7029.900,7007.000,14014.000
random,msd_radix_sort,900,7,1519.043,1057.600,0.000,3852.000
random,msd_radix_sort_with_switch,900,7,480.100,411.300,2522.000,4926.000
random,standard_quicksort,1000,7,4407.243,4194.100,145486.000,290972.000
random,standard_mergesort,1000,7,1622.243,1291.500,11575.000,23150.000
random,ternary_string_quicksort,1000,7,622.171,620.200,9926.000,10676.000
random,lcp_string_mergesort,1000,7,9142.886,8436.400,7933.000,15866.000
random,msd_radix_sort,1000,7,1585.886,1374.300,0.000,4302.000
random,msd_radix_sort_with_switch,1000,7,833.271,812.200,2956.000,5643.000
random,standard_quicksort,1100,7,4073.171,3947.700,170158.000,340316.000
random,standard_mergesort,1100,7,1600.557,1546.700,12993.000,25986.000
random,ternary_string_quicksort,1100,7,736.314,589.700,10796.000,11621.000
random,lcp_string_mergesort,1100,7,7815.214,7791.000,8792.000,17584.000
random,msd_radix_sort,1100,7,1796.343,1672.400,0.000,4768.000
random,msd_radix_sort_with_switch,1100,7,832.386,800.600,3412.000,6375.000
random,standard_quicksort,1200,7,6483.014,5820.700,183738.000,367476.000
random,standard_mergesort,1200,7,1743.571,1481.400,14514.000,29028.000
random,ternary_string_quicksort,1200,7,606.386,516.300,11191.000,12089.000
random,lcp_string_mergesort,1200,7,11561.657,11527.300,9757.000,19514.000
random,msd_radix_sort,1200,7,4192.800,3317.300,0.000,5226.000
random,msd_radix_sort_with_switch,1200,7,1921.329,846.000,3802.000,7042.000
